| Military and Security | Guinea-Bissau |
| --- | --- |
| Military and security forces: | People's Revolutionary Armed Force (FARP): Army, Navy, National Air Force (Forca Aerea Nacional); Guard Nacional (Ministry of Internal Administration) (2020) |
| Military expenditures: | 1.4% of GDP (2017) |
| Military expenditures: | 1.3% of GDP (2016) |
| Military expenditures: | 1.6% of GDP (2015) |
| Military expenditures: | 2% of GDP (2014) |
| Military expenditures: | 2.1% of GDP (2013) |
| Military and security service personnel strengths: | the People's Revolutionary Armed Force (FARP) has approximately 4,400 active troops (4,000 Army; 300 Navy; 100 Air Force) (2019) |
| Military equipment inventories and acquisitions: | the inventory of the FARP consists of Soviet-era equipment; the only reported deliveries of military equipment to Guinea Bissau since 2015 were patrol boats from Spain in 2017 and non-lethal equipment from China in 2015 (2019 est.) |
| Military service age and obligation: | 18-25 years of age for selective compulsory military service (Air Force service is voluntary); 16 years of age or younger, with parental consent, for voluntary service (2013) |
