| Military and Security | Kuwait |
| --- | --- |
| Military and security forces: | Kuwaiti Armed Forces: Kuwaiti Land Forces (KLF), Kuwaiti Navy, Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya; includes Kuwaiti Air Defense Force, KADF), 25th Commando Brigade, and the Kuwait Emiri Guard Brigade; Kuwaiti National Guard (KNG); Coast Guard (Ministry of Interior) (2019) |
| Military and security forces: | note: the Kuwait Emiri Guard Authority and the 25th Commando Brigade exercise independent command authority within the Kuwaiti Armed Forces, although activities such as training and equipment procurement are often coordinated with the other services; the KNG possesses an independent command structure, equipment inventory, and logistics corps separate from the Ministry of Defense, the regular armed services, and the Ministry of Interior |
| Military expenditures: | 5.6% of GDP (2019) |
| Military expenditures: | 5.1% of GDP (2018) |
| Military expenditures: | 5.6% of GDP (2017) |
| Military expenditures: | 5.8% of GDP (2016) |
| Military expenditures: | 5% of GDP (2015) |
| Military and security service personnel strengths: | the Kuwaiti Armed Forces have approximately 17,000 active personnel (12,500 Army; 2,000 Navy; 2,500 Air Force); est. 6,500 National Guard; note â€“ Army figures include the Kuwait Emiri Guard Authority (est. 500) and the 25th Commando Brigade (N/A) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Kuwaiti Armed Forces consists of a range of European- and US-sourced weapons systems; the US is the leading supplier of arms to Kuwait since 2010 (2019 est.) |
| Military service age and obligation: | 17-21 years of age for voluntary military service; Kuwait reintroduced one-year mandatory service for men aged 18-35 in May 2017 after having suspended conscription in 2001; service is divided in two phases â€“ four months for training and eight months for military service (2018) |
