| Military and Security | Indonesia |
| --- | --- |
| Military and security forces: | Indonesian National Armed Forces (Tentara Nasional Indonesia, TNI): Army (TNI-Angkatan Darat (TNI-AD)), Navy (TNI-Angkatan Laut (TNI-AL), includes marines (Korps Marinir, KorMar), naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Komando Pertahanan Udara Nasional (Kohanudnas)), Armed Forces Special Operations Command (Koopssus), Strategic Reserve Command (Kostrad) |
| Military and security forces: | Indonesian Sea and Coast Guard (Kesatuan Penjagaan Laut dan Pantai, KPLP) is under the Ministry of Transportation (2019) |
| Military and security forces: | note:Â  the Indonesian National Police includes a paramilitary Mobile Brigade Corps (BRIMOB) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.7% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.8% of GDP (2016) |
| Military expenditures: | 0.9% of GDP (2015) |
| Military and security service personnel strengths: | the Indonesian National Armed Forces have an estimated 395,000 active duty troops (300,000 Army; 65,000 Navy; 30,000 Air Force); the Police Mobile Brigade Corps (BRIMOB) has an estimated 14,000 personnel (2019) |
| Military equipment inventories and acquisitions: | the Indonesian military inventory is comprised of equipment from a wide variety of sources; since 2010, the top suppliers are China, Germany, the Netherlands, Russia, South Korea, the UK, and the US (2019) |
| Military deployments: | 200 Central African Republic (MINUSCA); 1,025 Democratic Republic of the Congo (MONUSCO); 1,250 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | 18-45 years of age for voluntary military service, with selective conscription authorized; 2-year service obligation, with reserve obligation to age 45 (officers); Indonesian citizens only (2013) |
| Maritime threats: | The International Maritime Bureau continues to report the territorial and offshore waters in the Strait of Malacca and South China Sea as high risk for piracy and armed robbery against ships; attacks declined for the third year in a row from 43 incidents in 2016 toÂ 36 in 2018 due toÂ aggressive maritime patrolling by regional authorities; in 2018,Â 29 commercial vessels were boarded andÂ three crew members were taken hostage; hijacked vessels are often disguised and cargo diverted to ports in East Asia (2018) |
