| Military and Security | Burma |
| --- | --- |
| Military and security forces: | Burmese Defense Service (Tatmadaw): Army (Tatmadaw Kyi), Navy (Tatmadaw Yay), Air Force (Tatmadaw Lay), Directorate of Peopleâ€™s Militia and Border Guard Forces (2019) |
| Military expenditures: | 2.9% of GDP (2018) |
| Military expenditures: | 3.2% of GDP (2017) |
| Military expenditures: | 3.7% of GDP (2016) |
| Military expenditures: | 4.1% of GDP (2015) |
| Military expenditures: | 3.6% of GDP (2014) |
| Military and security service personnel strengths: | estimates of the Burmese Defense Service (Tatmadaw) vary widely; approximately 380,000 total active troops (est. 340,000 Army; 20,000 Navy; 20,000 Air Force); est. 35,000 Peopleâ€™s Militia |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the Burmese Defense Service's inventory is comprised mostly of older Chinese and Russian/Soviet-era equipment with a smaller mix of more modern acquisitions; since 2010, China and Russia are the leading suppliers of military hardware to Burma; other suppliers include Belarus, India, Israel, and South Korea (2019 est.) |
| Military service age and obligation: | 18-35 years of age (men) and 18-27 years of age (women) for voluntary military service; no conscription (a 2010 law reintroducing conscription has not yet entered into force); 2-year service obligation; male (ages 18-45) and female (ages 18-35) professionals (including doctors, engineers, mechanics) serve up to 3 years; service terms may be stretched to 5 years in an officially declared emergency; Burma signed the Convention on the Rights of the Child on 15 August 1991; on 27 June 2012, the regime signed a Joint Action Plan on prevention of child recruitment; in February 2013, the military formed a new task force to address forced child conscription (2013) |
| Military - note: | since the country's founding, the armed forces have been heavily involved in domestic politics and ran the country for five decades following a military coup in 1962; the military controls three key security ministries, one of two vice presidential appointments, and 25% of the parliamentary seats; its primary operational focus is internal security, particularly counterinsurgency operations against several insurgent groups in Kachin, Rakhine, and Shan states, such as the Arakan Army, the Kachin Independence Army, the Shan State Army, and the Tang National Liberation Army; these operations have resulted in numerous civilian casualties, human rights abuses, and internal displacement; the military is also engaged in small-scale operations against Naga insurgents along the northwestern border with India (2020) |
