| Military and Security | Bangladesh |
| --- | --- |
| Military and security forces: | Bangladesh Defense Force: Bangladesh Army, Bangladesh Navy, Bangladesh Air Force; Ministry of Home Affairs: Border Guard Bangladesh (BGB), Bangladesh Coast Guard, Ansars, Village Defense Party (VDP) (2019) |
| Military and security forces: | note: the Ansars and VDP are paramilitary organizations for internal security |
| Military expenditures: | 1.3% of GDP (2019) |
| Military expenditures: | 1.3% of GDP (2018) |
| Military expenditures: | 1.2% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.4% of GDP (2015) |
| Military and security service personnel strengths: | estimates of the size of the Bangladesh Defense Force vary; approximately 165,000 total active personnel (135,000 Army; 16,000 Navy; 14,000 Air Force); 38,000 Border Guards (2019 est.) |
| Military equipment inventories and acquisitions: | the Bangladesh Defense Force inventory is comprised of mostly Chinese and Russian equipment; since 2010, China and Russia are the chief suppliers of arms to Bangladesh; Bangladesh is currently undertaking a significant defense modernization program, with a focus on naval acquisitions (2019) |
| Military deployments: | 1,300 Central African Republic (MINUSCA); 1,650 Democratic Republic of the Congo (MONUSCO); 115 Lebanon (UNIFIL); 1,300 Mali (MINUSMA); 1,600 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 16-21 years of age for voluntary military service; Bangladeshi nationality and 10th grade education required; officers: 17-21 years of age, Bangladeshi nationality, and 12th grade education required (2018) |
| Maritime threats: | the International Maritime Bureau reports the territorial waters of Bangladesh remain a risk for armed robbery against ships; in 2018, the number of attacks against commercial vessels increased to 12 over the 11 such incidents in 2017 |
