| Military and Security | Afghanistan |
| --- | --- |
| Military and security forces: | Afghan National Defense and Security Forces (ANDSF) are comprised of military, police, and other security elements: |
| Military and security forces: | Ministry of Defense: Afghan National Army ((ANA), Afghan Air Force, Afghan Army Special Security Forces (includes ANA Special Operations Command), Afghanistan National Army Territorial Forces (ANA-TF)); Afghan Border Force (ABF); Afghan National Civil Order Force (ANCOF) |
| Military and security forces: | Ministry of Interior: Afghan Uniform (National) Police (AUP); Public Security Police (PSP); Afghan Border Police (ABP); Afghan Anti-Crime Police; Afghan Local Police; Afghan Public Protection Force; Special Security Forces |
| Military and security forces: | National Directorate of Security ((NDS), intelligence service) (2020) |
| Military expenditures: | 1.2% of GDP (2019) |
| Military expenditures: | 1% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 1% of GDP (2016) |
| Military expenditures: | 1% of GDP (2015) |
| Military and security service personnel strengths: | Afghan National Defense and Security Forces (ANDSF) have approximately 290,000 active personnel; Ministry of Defense: 185,000; Ministry of Interior: 105,000 (2020) |
| Military and security service personnel strengths: | note: the authorized strength of the ANDSF, the force level that the international community is willing to fund, is 352,000 personnel |
| Military equipment inventories and acquisitions: | the Afghan Army and Air Force inventory is mostly a mix of Soviet-era and more modern US equipment; since 2010, the US is the leading supplier of arms to Afghanistan, followed by Russia (2020) |
| Military service age and obligation: | 18 is the legal minimum age for voluntary military service; no conscription (2017) |
| Military - note: | since early 2015, the NATO-led mission in Afghanistan known as Resolute Support Mission (RSM) has focused on training, advising, and assisting Afghan government forces; as of mid-2020, RSM includes about 16,000 troops from 38 countries (June 2020) |
