| Military and Security | Sri Lanka |
| --- | --- |
| Military and security forces: | Sri Lanka Army (includes National Guard and the Volunteer Force), Sri Lanka Navy (includes Marine Corps), Sri Lanka Air Force, Sri Lanka Coast Guard; Civil Security Department (Home Guard); Sri Lanka National Police: Special Task Force (counter-terrorism and counter-insurgency) (2019) |
| Military expenditures: | 1.9% of GDP (2019) |
| Military expenditures: | 1.9% of GDP (2018) |
| Military expenditures: | 2.1% of GDP (2017) |
| Military expenditures: | 2.1% of GDP (2016) |
| Military expenditures: | 2.6% of GDP (2015) |
| Military and security service personnel strengths: | the Sri Lankan military has approximately 250,000 total personnel (180,000 Army; 40,000 Navy; 30,000 Air Force) (2019) |
| Military equipment inventories and acquisitions: | the Sri Lankan military inventory consists mostly of Chinese and Russian-origin equipment, as well as smaller amounts from Israel, the UK, and the US; since 2000, China, India, Israel, and the US have been the leading suppliers of arms to Sri Lanka (2019 est.) |
| Military deployments: | 110 Central African Republic (MINUSCA); 140 Lebanon (UNIFIL); 240 Mali (MINUSMA); 170 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 18-22 years of age for voluntary military service; no conscription (2019) |
