| Military and Security | Ethiopia |
| --- | --- |
| Military and security forces: | Ethiopian National Defense Force (ENDF): Ground Forces, Ethiopian Air Force (Ye Ityopya Ayer Hayl, ETAF) (2020) |
| Military and security forces: | note(s): in January 2020 the Ethiopian Government announced it had re-established a navy, which was disbanded in 1996; in March 2019 Ethiopia signed a defense cooperation agreement with France which stipulated that France would support the establishment of an Ethiopian navy |
| Military and security forces: | in 2018, Ethiopia established a Republican Guard for protecting senior officials; the Republican Guard is a military unit accountable to the Prime Minister |
| Military and security forces: | Ethiopian law allows each regional government to have paramilitary units to provide security within their territory |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.7% of GDP (2018) |
| Military expenditures: | 0.7% of GDP (2017) |
| Military expenditures: | 0.7% of GDP (2016) |
| Military expenditures: | 0.7% of GDP (2015) |
| Military and security service personnel strengths: | estimates for the size of the Ethiopian National Defense Force (ENDF) vary; approximately 150,000 active duty troops, including about 3,000 Air Force personnel (no personnel numbers available for the newly-reestablished Navy) (2020) |
| Military equipment inventories and acquisitions: | the ENDF's inventory is comprised mostly of Soviet-era equipment; since 2010, Russia and Ukraine are the leading suppliers of largely second-hand weapons and equipment to the ENDF, followed by China and Hungary; Ethiopia has a modest industrial defense base centered on small arms and licensed production of light-armored vehicles (2019 est.) |
| Military deployments: | 10-15,000 Somalia (4,500 for AMISOM); 800 Sudan (UNAMID); 3,600 Sudan (UNISFA); 2,100 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service; no compulsory military service, but the military can conduct callups when necessary and compliance is compulsory (2013) |
| Military - note: | each of the nine states has a regional, a special police force, or both that report to regional civilian authorities; local militias operate across the country in loose and varying coordination with these regional police, the Ethiopian Federal Police (EFP), and the military; the EFP reports to the Ministry of Peace, which was created in October of 2018 (2019) |
