| Terrorism | West Bank |
| --- | --- |
| Terrorist groups - home based: | Kahane Chai (Kach): aim(s): restore the biblical state of Israel; expel Arabs from Israel's biblical lands |
| Terrorist groups - home based: | area(s) of operation: present in West Bank Jewish settlements, especially the Qiryat Arba' settlement in Hebron, where operatives have conducted bombings and shootings against Muslim and Christian Palestinians; operationally inactive in recent years (2018) |
| Terrorist groups - foreign based: | HAMAS: aim(s): grow its political and operational presence in the West Bank |
| Terrorist groups - foreign based: | area(s) of operation: mostly political activity; small cells scattered throughout the West Bank for militant and illicit finance purposes (2018) |
| Terrorist groups - foreign based: | Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF): |
| Terrorist groups - foreign based: | aim(s):Â  launch attacks against Israel, reduce Israelâ€™s presence and influence in the West Bank, and destroy the state of Israel; works through proxies and allies such as Hamas, Palestine Islamic Jihad (PIJ), Palestine Liberation Front (PLF), and Popular Front for the Liberation of Palestine (PFLP) |
| Terrorist groups - foreign based: | area(s) of operations:Â  West Bank |
| Terrorist groups - foreign based: | (2019) |
| Terrorist groups - foreign based: | Palestine Islamic Jihad (PIJ): aim(s): enhance its staging capabilities in the West Bank to launch attacks against Israel |
| Terrorist groups - foreign based: | area(s) of operation: mostly political activity; strives to maintain an operational presence (2018) |
| Terrorist groups - foreign based: | Palestine Liberation Front (PLF): aim(s): enhance its networks in the West Bank and, ultimately, destroy the state of Israel; establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| Terrorist groups - foreign based: | area(s) of operation: maintains a recruitment and training presence in some of the West Bank's refugee camps (2018) |
| Terrorist groups - foreign based: | Popular Front for the Liberation of Palestine (PFLP): aim(s): bolster its recruitment networks in the West Bank |
| Terrorist groups - foreign based: | area(s) of operation: mostly political activity, maintains a recruitment presence targeting youths (2018) |
