| Terrorism | West Bank |
| --- | --- |
| Terrorist groups - home based: | Kahane Chai (Kach): |
| Terrorist groups - home based: | aim(s): restore the biblical state of Israel; expel Arabs from Israel's biblical lands |
| Terrorist groups - home based: | area(s) of operation: present in West Bank Jewish settlements, especially the Qiryat Arba' settlement in Hebron, where operatives have conducted bombings and shootings against Muslim and Christian Palestinians; operationally inactive in recent years (April 2018) |
| Terrorist groups - foreign based: | HAMAS: |
| Terrorist groups - foreign based: | aim(s): grow its political and operational presence in the West Bank |
| Terrorist groups - foreign based: | area(s) of operation: mostly political activity; small cells scattered throughout the West Bank for militant and illicit finance purposes (April 2018) |
| Terrorist groups - foreign based: | Palestine Islamic Jihad (PIJ): |
| Terrorist groups - foreign based: | aim(s): enhance its staging capabilities in the West Bank to launch attacks against Israel |
| Terrorist groups - foreign based: | area(s) of operation: mostly political activity; strives to maintain an operational presence (April 2018) |
| Terrorist groups - foreign based: | Palestine Liberation Front (PLF): |
| Terrorist groups - foreign based: | aim(s): enhance its networks in the West Bank and, ultimately, destroy the state of Israel; establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| Terrorist groups - foreign based: | area(s) of operation: maintains a recruitment and training presence in some of the West Bank's refugee camps (April 2018) |
| Terrorist groups - foreign based: | Popular Front for the Liberation of Palestine (PFLP): |
| Terrorist groups - foreign based: | aim(s): bolster its recruitment networks in the West Bank |
| Terrorist groups - foreign based: | area(s) of operation: mostly political activity, maintains a recruitment presence targeting youths (April 2018) |
