| Military and Security | Poland |
| --- | --- |
| Military expenditures: | 2% of GDP (2019 est.) |
| Military expenditures: | 2.02% of GDP (2018) |
| Military expenditures: | 1.89% of GDP (2017) |
| Military expenditures: | 1.99% of GDP (2016) |
| Military expenditures: | 2.22% of GDP (2015) |
| Military and security forces: | Polish Armed Forces: Land Forces (Wojska Ladowe), Navy (Marynarka Wojenna), Air Force (Sily Powietrzne), Special Forces (Wojska Specjalne), Territorial Defense Force (Wojska Obrony Terytorialnej) (2019) |
| Military and security forces: | note: Territorial Defense Force only began recruitment in winter 2016 |
| Military service age and obligation: | 18-28 years of age for male and female voluntary military service; conscription phased out in 2009-12; professional soldiers serve on a permanent basis (for an unspecified period of time) or on a contract basis (for a specified period of time); initial contract period is 24 months; women serve in the military on the same terms as men (2019) |
| Military - note: | Coast guard duties fall under the Border Guard, which is controlled by the Ministry of the Interior (2019) |
