| Military and Security | Kenya |
| --- | --- |
| Military expenditures: | 1.3% of GDP (2019) |
| Military expenditures: | 1.22% of GDP (2018) |
| Military expenditures: | 1.32% of GDP (2017) |
| Military expenditures: | 1.32% of GDP (2016) |
| Military expenditures: | 1.32% of GDP (2015) |
| Military and security forces: | Kenya Defence Forces: Kenya Army, Kenya Navy, Kenya Air Force (2019) |
| Military service age and obligation: | 18-26 years of age for male and female voluntary service (under 18 with parental consent), with a 9-year obligation (7 years for Kenyan Navy) and subsequent 3-year reenlistments; applicants must be Kenyan citizens and provide a national identity card (obtained at age 18) and a school-leaving certificate, and undergo a series of mental and physical examinations; women serve under the same terms and conditions as men; mandatory retirement at age 55 but personnel leaving before this age remain in a reserve status until they reach age 55 unless they were removed for disciplinary reasons; there is no active military reserve, although the Ministry of Defence has stated its desire to create one as recently as 2017 (2019) |
| Maritime threats: | The International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen. |
| Military - note: | The Kenya Coast Guard Service (established 2018) is separate from the Defence Forces, but led by a military officer and comprised of personnel from the military, as well as the National Police Service, intelligence services, and other government agencies. (2019) |
