| Military and Security | Kenya |
| --- | --- |
| Military and security forces: | Kenya Defence Forces: Kenya Army, Kenya Navy, Kenya Air Force (2019) |
| Military and security forces: | note: the National Police Service includes a paramilitary General Service Unit |
| Military expenditures: | 1.3% of GDP (2019) |
| Military expenditures: | 1.2% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.3% of GDP (2016) |
| Military expenditures: | 1.3% of GDP (2015) |
| Military and security service personnel strengths: | the Kenyan Defense Forces (KDF) are comprised of approximately 24,000 personnel (20,000 Army; 1,500 Navy; 2,500 Air Force); 5,000 Police General Services Unit (2019 est.) |
| Military equipment inventories and acquisitions: | the KDF's inventory traditionally carried mostly older or second-hand Western weapons systems, particularly from France, the UK, and the US; however, since the 2000s it has sought to modernize and diversify its imports; top suppliers since 2010 include China, Italy, Jordan, Serbia, South Africa, Spain, Ukraine, and the US (2019 est.) |
| Military deployments: | 3,600 Somalia (AMISOM) (2020) |
| Military service age and obligation: | 18-26 years of age for male and female voluntary service (under 18 with parental consent), with a 9-year obligation (7 years for Kenyan Navy) and subsequent 3-year reenlistments; applicants must be Kenyan citizens and provide a national identity card (obtained at age 18) and a school-leaving certificate, and undergo a series of mental and physical examinations; women serve under the same terms and conditions as men; mandatory retirement at age 55 but personnel leaving before this age remain in a reserve status until they reach age 55 unless they were removed for disciplinary reasons; there is no active military reserve, although the Ministry of Defence has stated its desire to create one as recently as 2017 (2019) |
| Maritime threats: | The International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen. |
| Military - note: | the Kenya Coast Guard Service (established 2018) is under the Ministry of Interior, but led by a military officer and comprised of personnel from the military, as well as the National Police Service, intelligence services, and other government agencies (2019) |
