| Military and Security | Albania |
| --- | --- |
| Military and security forces: | Land Forces Command, Navy Force Command (includes Coast Guard), Air Forces Command, Support Command, Training and Doctrination Command (2019) |
| Military expenditures: | 1.3% of GDP (2019 est.) |
| Military expenditures: | 1.2% of GDP (2018) |
| Military expenditures: | 1.1% of GDP (2017) |
| Military expenditures: | 1.1% of GDP (2016) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military and security service personnel strengths: | the Albanian military has approximately 10,000 total active duty personnel (8,000 Army; 1,500 Navy; 500 Air Force; note - as many as 4,000 personnel are assigned to support forces) (2019 est.) |
| Military equipment inventories and acquisitions: | the Albanian military was previously equipped with mostly Soviet-era weapons that were sold or destroyed; its inventory now includes a mix of mostly donated and second-hand European and US equipment; since 2010, it has received equipment from France, Germany, Italy, and the US (2019 est.) |
| Military deployments: | 100 Afghanistan (NATO) (June 2020) |
| Military service age and obligation: | 19 is the legal minimum age for voluntary military service; 18 is the legal minimum age in case of general/partial compulsory mobilization (2012) |
