| Terrorism | Mali |
| --- | --- |
| Terrorist groups - home based: | al-Mulathamun Battalion: aim(s): implement ISIS's strict interpretation of Sharia; replace the Malian Government with an Islamic state |
| Terrorist groups - home based: | area(s) of operation: headquartered in the north; targets primarily international interests, especially Westerners and Western entities |
| Terrorist groups - home based: | (2018) |
| Terrorist groups - home based: | al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM): aim(s): establish an Islamic state centered in Mali |
| Terrorist groups - home based: | area(s) of operation: primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger and Burkina Faso |
| Terrorist groups - home based: | note: pledged allegiance to al-Qa'ida and AQIM; holds Western hostages; wages attacks against security and peacekeeping forces in Mali ( 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-sham networks in the Greater Sahara (ISGS): aim(s): replace regional governments with an Islamic state |
| Terrorist groups - home based: | area(s) of operation: mostly concentrated along the Mali-Niger border region; targets primarily security forces (2018) |
| Terrorist groups - home based: | Â  |
