| Military and Security | Jordan |
| --- | --- |
| Military and security forces: | Jordanian Armed Forces (JAF): Royal Jordanian Army (includes Special Operations Forces, Border Guards, Royal Guard), Royal Jordanian Navy, Royal Jordanian Air Force; Ministry of Interior: General Directorate of Gendarmerie Forces, Public Security Directorate (2020) |
| Military expenditures: | 4.7% of GDP (2019) |
| Military expenditures: | 4.7% of GDP (2018) |
| Military expenditures: | 4.8% of GDP (2017) |
| Military expenditures: | 4.6% of GDP (2016) |
| Military expenditures: | 4.3% of GDP (2015) |
| Military and security service personnel strengths: | the Jordanian Armed Forces (JAF) have approximately 101,000 active personnel (87,000 Army; 500 Navy; 14,000 Air Force); est. 15,000 Gendarmerie Forces (2019) |
| Military equipment inventories and acquisitions: | the JAF inventory is comprised of a wide mix of imported weapons, mostly second-hand equipment from Europe and the US; some of the equipment is received from third-party suppliers such as the United Arab Emirates; since 2010, the Netherlands and the US are the leading suppliers of military hardware to Jordan (2019) |
| Military service age and obligation: | 17 years of age for voluntary male military service; initial service term 2 years, with option to reenlist for 18 years; conscription at age 18 suspended in 1999; women are not conscripted, but can volunteer to serve in noncombat military positions in the Royal Jordanian Arab Army Women's Corps and RJAF (2013) |
