| Terrorism | Iraq |
| --- | --- |
| Terrorist groups - home based: | Ansar al-Islam (AAI): aim(s): expel western interests from Iraq and, ultimately, establish an independent Iraqi state operating according to its interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: headquartered in northern Iraq with its largest presence in Kirkuk, Tikrit, and Mosul; active in the western and central regions of the country |
| Terrorist groups - home based: | note: majority of members are Iraqi Kurds or Iraqi Arabs who are Sunni Muslim (2018) |
| Terrorist groups - home based: | Jaysh Rijal al-Tariq al-Naqshabandi (JRTN): aim(s): end external influence in Iraq and, ultimately, overthrow the Government of Iraq to install a secular Ba'athist state within the internationally recognized borders of Iraq |
| Terrorist groups - home based: | area(s) of operation: attacks separatist Kurdish groups, Iraqi Government military and security forces and facilities, and foreign military personnel (2018) |
| Terrorist groups - home based: | Kata'ib Hizballah (KH): aim(s): counter US influence and, ultimately, overthrow the Iraqi Government to install a government based on Shia Muslim laws and precepts |
| Terrorist groups - home based: | area(s) of operation: headquartered in the Shia Muslim areas of Baghdad, with fighters active in Ninawa, Al Anbar, and Babil governorates (2018) |
| Terrorist groups - home based: | Kurdistan Workers' Party (PKK): aim(s): advance Kurdish autonomy and security goals in Iraq, Turkey, Iran, and Syria |
| Terrorist groups - home based: | area(s) of operation: operational in the north and east, with its stronghold in the Qandil Mountains; majority of members inside Iraq are Iraqi, Turkish, and Iranian Kurds, along with Kurds from Syria (2018) |
| Terrorist groups - foreign based: | Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF): |
| Terrorist groups - foreign based: | aim(s): back Iraqâ€™s pro-government Shia militias by supplying two battalions of IRGC forces to jointly engage in combat against ISIS; provide weapons and munitions to Shia militants targeting US forces |
| Terrorist groups - foreign based: | area(s) of operations: Baghdad, Basrah, Karbala, Mosul, Samarra, Tikrit Â  |
| Terrorist groups - foreign based: | (2019) |
| Terrorist groups - foreign based: | Islamic State of Iraq and ash-Sham (ISIS): aim(s): replace the world order with a global Islamic state based in Iraq and Syria; expand its branches and networks in other countries; rule according to ISIS's strict interpretation of Islamic law |
| Terrorist groups - foreign based: | area(s) of operation: operational in the rural and desert areas of central and northern Iraq, primarily within and near Sunni populations, with some presence in major population areas (2018) |
