| Terrorism | Libya |
| --- | --- |
| Terrorist groups - home based: | al-Qa'ida in the Islamic Maghreb (AQIM): aim(s): overthrow various African regimes and replace them with one ruled by sharia; establish a regional Islamic caliphate across all of North and West Africa |
| Terrorist groups - home based: | area(s) of operation: leadership headquartered in Algeria; operates in Tunisia and Libya (2018) |
| Terrorist groups - home based: | Ansar al-Sharia groups: aim(s): implement sharia in Libya |
| Terrorist groups - home based: | area(s) of operation: in the east, mostly in Benghazi and Darnah |
| Terrorist groups - home based: | note: officially disbanded in June 2017, but fighters and local elements remain; operated as a member of the Benghazi Revolutionaries Shura Council and Darnah Mujahidin Shura Council, a coalition of jihadist groups combating the Libyan House of Representatives-aligned forces (2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS)-Libya: aim(s): prevent the formation of a reunified Libyan state, secure control over the country's critical resources and, ultimately, establish an Islamic caliphate in Libya |
| Terrorist groups - home based: | area(s) of operation: based in Libya since circa 2015, with its original headquarters in Sirte; no longer controls territory in Libya but does maintain a low-profile presence throughout much of the country (2018) |
| Terrorist groups - foreign based: | al-Mulathamun Battalion: aim(s): replace several African governments, including Libya's transitional government, with an Islamic state |
| Terrorist groups - foreign based: | area(s) of operation: maintains an operational presence; engages in kidnappings for ransom (2018) |
