| Military and Security | Colombia |
| --- | --- |
| Military and security forces: | Military Forces of Colombia (Fuerzas Militares de Colombia): National Army (Ejercito Nacional), Republic of Colombia Navy (Armada Republica de Colombia, ARC; includes Coast Guard), Colombian Air Force (Fuerza Aerea de Colombia, FAC); Colombian National Police (civilian force that is part of the Ministry of Defense) (2020) |
| Military expenditures: | 3.2% of GDP (2019) |
| Military expenditures: | 3.1% of GDP (2018 est.) |
| Military expenditures: | 3.2% of GDP (2017) |
| Military expenditures: | 3.1% of GDP (2016) |
| Military expenditures: | 3.1% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Military Forces of Colombia (FMC) vary; approximately 295,000 total active troops (235,000 Army; 45,000 Navy, including about 22,000 marines; 14,000 Air Force) (2019 ) |
| Military equipment inventories and acquisitions: | the Colombian military inventory includes a wide mix of equipment from a variety of suppliers, including Brazil, Canada, Europe, Israel, South Korea, and the US; Germany, Israel, and the US are the leading suppliers of military hardware since 2010; Colombia's defense industry is active in producing air, land, and naval platforms (2019 est.) |
| Military deployments: | 275 Egypt (MFO) (Dec. 2019) |
| Military service age and obligation: | 18-24 years of age for compulsory and voluntary military service; service obligation is 18 months (2012) |
| Military - note: | the Colombian Armed Forces are primarily focused on internal security, particularly counter-narcotics, counter-terrorism, and counterinsurgency operations against drug traffickers, militants from the Revolutionary Armed Forces of Colombia (FARC) and National Liberation Army (ELN) terrorist/guerrilla organizations, and other illegal armed groups; the Colombian Government signed a peace agreement with the FARC in 2016, but some former members (known as dissidents) have returned to fighting; the Colombian military resumed operations against FARC dissidents and their successor paramilitary groups in late 2019; in 2017, the Colombian Government initiated formal peace talks with the ELN, but in January 2019, the government ended the peace talks shortly after the ELN exploded a car bomb at the National Police Academy in BogotÃ¡; the military is also focused on the security challenges posed by its neighbor, Venezuela (2020) |
