| Military and Security | Lesotho |
| --- | --- |
| Military and security forces: | Lesotho Defense Force (LDF): Army (includes Air Wing) (2019) |
| Military expenditures: | 1.5% of GDP (2019) |
| Military expenditures: | 1.8% of GDP (2018) |
| Military expenditures: | 2% of GDP (2017) |
| Military expenditures: | 1.8% of GDP (2016) |
| Military expenditures: | 1.9% of GDP (2015) |
| Military and security service personnel strengths: | the Lesotho Defense Force (LDF) has approximately 2,000 personnel, including 150 for its air wing (2019 est.) |
| Military equipment inventories and acquisitions: | the LDF's inventory consists of older equipment from a variety of countries; the only reported delivery to the LDF since 2007 was two helicopters from France in 2017 (2019 est.) |
| Military service age and obligation: | 18-24 years of age for voluntary military service; no conscription; women serve as commissioned officers (2019) |
| Military - note: | Lesotho's declared policy for its military is the maintenance of the country's sovereignty and the preservation of internal security; in practice, external security is guaranteed by South Africa |
