| Military and Security | Korea, South |
| --- | --- |
| Military expenditures: | 2.62% of GDP (2018) |
| Military expenditures: | 2.7% of GDP (2017) |
| Military expenditures: | 2.3% of GDP (2016) |
| Military expenditures: | 2.3% of GDP (2015) |
| Military expenditures: | 2.64% of GDP (2014) |
| Military and security forces: | Republic of Korea Army (ROKA), Navy (ROKN, includes Marine Corps, ROKMC), Air Force (ROKAF); Military reserves include Mobilization Reserve Forces (First Combat Forces) and Homeland Defense Forces (Regional Combat Forces); |
| Military and security forces: | Korea Coast Guard (Ministry of Maritime Affairs and Fisheries) (2019) |
| Military service age and obligation: | 18-28 years of age for compulsory military service; minimum conscript service obligation varies by service- 21 months (Army, Marines), 23 months (Navy), 24 months (Air Force); 18-26 years of age for voluntary military service; women, in service since 1950, are able to serve in all branches (2019) |
| Military service age and obligation: | Note:Â  South Korea intends to reduce the length of military service to 18 â€“ 22 months by 2022 |
