| Military and Security | South Sudan |
| --- | --- |
| Military expenditures: | 1.33% of GDP (2018) |
| Military expenditures: | 2.35% of GDP (2017) |
| Military expenditures: | 4.6% of GDP (2016) |
| Military expenditures: | 10.56% of GDP (2015) |
| Military expenditures: | 8.62% of GDP (2014) |
| Military and security forces: | South Sudan Peopleâ€™s Defence Force (SSPDF): Ground Force, Air Force, Air Defense Forces, Presidential Guard (2019) |
| Military service age and obligation: | 18 is the legal minimum age for compulsory and voluntary military service; the Government of South Sudan signed agreements in March 2012 and August 2015 that included the demobilization of all child soldiers within the armed forces and opposition, but the recruitment of child soldiers by the warring parties continues; as of the end of 2018, UNICEF estimated that more than 19,000 child soldiers had been used in the country's civil war since it began in December 2013 (2018) |
| Military - note: | under the September 2018 peace agreement, all armed groups in South Sudan were to assemble at designated sites where fighters could be either disarmed and demobilized, or integrated into unified military and police forces; the unified forces were then to be retrained and deployed prior to the formation of a national unity government; all fighters were ordered to these sites in July 2019, but as of December 2019 this process had not been completedÂ  |
| Military - note: | the United Nations Mission in South Sudan (UNMISS) has operated in the country since 2011 with the objectives of consolidating peace and security and helping establish conditions for the successful economic and political development of South Sudan; UNMISS had more than 19,000 personnel deployed in the country as of July 2019 |
| Military - note: | United Nations Interim Security Force for Abyei (UNISFA) has operated in the disputed Abyei region along the border between Sudan and South Sudan since 2011; UNISFA's mission includes ensuring security, protecting civilians, strengthening the capacity of the Abyei Police Service, de-mining, monitoring/verifying the redeployment of armed forces from the area, and facilitating the flow of humanitarian aid; UNISFA had about 4,400 personnel deployed as of July 2019 (2019) |
