| Military and Security | Central African Republic |
| --- | --- |
| Military and security forces: | Central African Armed Forces (Forces Armees Centrafricaines, FACA): Ground Forces (includes Military Air Service), General Directorate of Gendarmerie Inspection (DGIG); National Police (2019) |
| Military expenditures: | 1.5% of GDP (2019) |
| Military expenditures: | 1.41% of GDP (2018) |
| Military expenditures: | 1.44% of GDP (2017) |
| Military expenditures: | 1.53% of GDP (2016) |
| Military expenditures: | 1.69% of GDP (2015) |
| Military and security service personnel strengths: | the Central African Armed Forces (FACA) have an estimated 8,000 Army troops (including an Air Service component of about 150) and 1,500 Gendarmerie |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the FACA is armed mostly with second-hand equipment from China, Russia, and Ukraine (2020 ) |
| Military service age and obligation: | 18 years of age for military service; no conscription (2019) |
| Military - note: | the FACA is currently assessed as unable to provide adequate internal security for the country; the military was dissolved following the 2013 rebel seizure of the government and has struggled to rebuild in the years of instability since; France, Russia, the UN, and the European Union are providing various levels of security assistance |
| Military - note: | the UN Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA) has operated in the country since 2014; its peacekeeping mission includes providing security, protecting civilians, facilitating humanitarian assistance, disarming and demobilizing armed groups, and supporting the countryâ€™s fragile transitional government; in November 2019, the UN Security Council extended the mandate of the MINUSCA peacekeeping mission another year; as of March 2020, MINUSCA had approximately 13,200 total personnel, including about 10,700 troops and 2,000 police |
| Military - note: | the European Union Training Mission in the Central African Republic (EUTM-RCA) has operated in the country since 2016; the EUTM-RCA contributes to the restructuring of the country's military and defense sector through advice, training, and educational programs (2020) |
