| Military and Security | Zambia |
| --- | --- |
| Military and security forces: | Zambia Defense Force (ZDF): Zambia Army, Zambia Air Force, Zambia National Service (support organization); the Zambia Police includes a paramilitary battalion (2019) |
| Military expenditures: | 1.2% of GDP (2019) |
| Military expenditures: | 1.3% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.8% of GDP (2015) |
| Military and security service personnel strengths: | the Zambia Defense Force (ZDF) has an estimated 17,000 active troops (15,500 Army; 1,500 Air); 1,400 paramilitary Police (2019 est.) |
| Military equipment inventories and acquisitions: | the ZDF's inventory is largely comprised of Soviet-era and older Chinese- and Russian-origin equipment; since 2010, China is the leading supplier of arms to Zambia (2019 est.) |
| Military deployments: | 920 Central African Republic (MINUSCA) (2020) |
| Military service age and obligation: | 18-25 years of age for male and female voluntary military service; no conscription; 12-year enlistment period (7 years active, 5 in the Reserves) (2019) |
