| Military and Security | Ghana |
| --- | --- |
| Military and security forces: | Ghana Armed Forces: Army, Navy, Air Force (2019) |
| Military expenditures: | 0.4% of GDP (2019) |
| Military expenditures: | 0.41% of GDP (2018) |
| Military expenditures: | 0.4% of GDP (2017) |
| Military expenditures: | 0.38% of GDP (2016) |
| Military expenditures: | 0.52% of GDP (2015) |
| Military and security service personnel strengths: | the Ghana Armed Forces consists of approximately 14,000 active personnel (10,000 Army; 2,000 Navy; 2,000 Air Force) (2019) |
| Military equipment inventories and acquisitions: | the inventory of the Ghana Armed Forces is a mix of Russian, Chinese, and Western equipment; the top suppliers of armaments since 2010 are China, Germany, Spain, and Russia (2019 est.) |
| Military deployments: | 140 Mali (MINUSMA); 180 Democratic Republic of the Congo (MONUSCO); 875 Lebanon (UNIFIL); 850 South Sudan (UNMISS) (2020) |
| Military deployments: | note: Ghana has pledged to maintain about 1,000 military personnel in readiness for UN peacekeeping missions |
| Military service age and obligation: | 18-26 years of age for voluntary military service, with basic education certificate; no conscription (2019) |
| Maritime threats: | West African piracy more than doubled in 2018 to become the most dangerous area in the World; the waters off of Ghana saw a dramatic increase with 10 attacks reported in 2018 compared with only one in 2017; eight ships were boarded, one hijacked, and 47 crew taken hostage or kidnapped |
