| Military and Security | Philippines |
| --- | --- |
| Military and security forces: | Armed Forces of the Philippines (AFP): Army, Navy (includes Marine Corps), Air Force (2020) |
| Military and security forces: | note: the Philippine Coast Guard is an armed and uniformed service under the Department of Transportation; it would be attached to the AFP in wartime; the Philippine National Police Force (PNP) falls under the Ministry of Interior and Local Government |
| Military expenditures: | 1% of GDP (2019) |
| Military expenditures: | 0.9% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.1% of GDP (2016) |
| Military expenditures: | 1.1% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of the Philippines (AFP) have approximately 130,000 active duty personnel (90,000 Army; 24,000 Navy; 16,000 Air Force);Â  note - the Navy includes about 8,500 marines) |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the AFP is equipped with a mix of imported weapons systems, particularly second-hand equipment from the US; since 2014, its top weapons suppliers are Brazil, Indonesia, South Korea, and the US (2019) |
| Military service age and obligation: | 18-23 years of age (officers 21-29) for voluntary military service; no conscription (2019) |
| Maritime threats: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; during 2018, 10 attacks were reported in and around the Philippines including six ships that were boarded, one fired upon, and three crewman kidnapped for ransom; an emerging threat area lies in the Celebes and Sulu Seas between the Philippines and Malaysia where it is believed the pirates involved are associated with the Abu Sayyaf Group (ASG) terrorist organization; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; the Maritime Administration (MARAD) of the US Department of Transportation has issued a Maritime Advisory (2019-011-Sulu and Celebes Seas-Piracy/Armed Robbery/Terrorism) which states in part "In 2018, there were at least 12 reported boardings, attempted boardings, attacks, hijackings, and kidnappings in the Sulu and Celebes Seas. Recent kidnapping incidents in this area were reportedly linked to the Abu Sayyaf Group (ASG), a violent Islamic separatist group operating in the southern Philippines..." and advises ships to adhere to counter-piracy practices to minimize risk |
| Military - note: | the AFP's primary operational focus is on internal security duties, particularly in the south, where several insurgent and terrorist groups operate and an estimated 60% of the armed forces were deployed as of 2019; the Philippines National Police (PNP) also has an active role in counterinsurgency and counter-terrorism operations alongside the AFP (2019) |
