| Military and Security | Georgia |
| --- | --- |
| Military and security forces: | Georgian Defense Forces: Land Forces (includes Aviation and Air Defense Forces); Special Operations Forces; National Guard; Ministry of the Interior: Border Police, Coast Guard (includes Georgian naval forces, which were merged with the Coast Guard in 2009) (2020) |
| Military expenditures: | 2% of GDP (2019) |
| Military expenditures: | 2% of GDP (2018) |
| Military expenditures: | 2.1% of GDP (2017) |
| Military expenditures: | 2.2% of GDP (2016) |
| Military expenditures: | 2.1% of GDP (2015) |
| Military and security service personnel strengths: | estimates for the size of the Georgian Defense Forces vary; approximately 25,000 active troops, including the National Guard (2019 est.) |
| Military equipment inventories and acquisitions: | the Georgian Defense Forces are equipped mostly with older Russian and Soviet-era weapons; since 2010, it has received limited quantities of equipment from Bulgaria, France, and the US (2019 ) |
| Military deployments: | 860 Afghanistan (NATO) (2020) |
| Military service age and obligation: | conscription reinstated in 2017; 18 to 27 years of age for compulsory and voluntary active duty military service; conscript service obligation is 12 months (2019) |
| Military - note: | Georgia does not have any military stationed in the separatist territories of Abkhazia and South Ossetia, but large numbers of Russian servicemen have been stationed in these regions since the 2008 Russia-Georgia War (2019) |
