| Military and Security | Germany |
| --- | --- |
| Military and security forces: | Federal Armed Forces (Bundeswehr): Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe, includes air defense), Joint Support Service (Streitkraeftebasis, SKB), Central Medical Service (Zentraler Sanitaetsdienst, ZSanDstBw), Cyber and Information Space Command (Kommando Cyber- und Informationsraum, Kdo CIR) (2020) |
| Military expenditures: | 1.38% of GDP (2019 est.) |
| Military expenditures: | 1.24% of GDP (2018) |
| Military expenditures: | 1.23% of GDP (2017) |
| Military expenditures: | 1.19% of GDP (2016) |
| Military expenditures: | 1.18% of GDP (2015) |
| Military and security service personnel strengths: | the German Federal Armed Forces have approximately 180,000 active duty personnel (62,000 Army; 16,000 Navy; 28,000 Air Force; 27,000 Joint Support Service; 20,000 Medical Service, 13,000 Cyber and Information Space Command; 14,000 other) (2019 est.) |
| Military equipment inventories and acquisitions: | the German Federal Armed Forces inventory is mostly comprised of weapons systems produced domestically or jointly with other European countries; since 2010, the US is the leading foreign supplier of armaments to Germany, followed by the Netherlands and Switzerland; Germany's defense industry is capable of manufacturing the full spectrum of air, land, and naval military weapons systems (2019 est.) |
| Military deployments: | 1,300 Afghanistan (NATO); approximately 100-200 Middle East (NATO/Counter-ISIS campaign); 110 Lebanon (UNIFIL); 500 Lithuania (NATO); 400 Mali (MINUSMA); 350 Mali (EUTM); note - Germany is a contributing member of the EuroCorps (2020) |
| Military service age and obligation: | 17-23 years of age for male and female voluntary military service; conscription ended 1 July 2011; service obligation 8-23 months or 12 years; women have been eligible for voluntary service in all military branches and positions since 2001 (2013) |
