| Military and Security | Trinidad and Tobago |
| --- | --- |
| Military and security forces: | Trinidad and Tobago Defense Force (TTDF): Trinidad and Tobago Regiment (Land Forces), Coast Guard, Air Guard, Defense Force Reserves (2019) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.8% of GDP (2018) |
| Military expenditures: | 1% of GDP (2017) |
| Military expenditures: | 1% of GDP (2016) |
| Military expenditures: | 0.9% of GDP (2015) |
| Military and security service personnel strengths: | the Trinidad and Tobago Defense Force (TTDF) has approximately 4,000 active troops, including Army, Coast Guard, and Air Guard personnel (2019 est.) |
| Military equipment inventories and acquisitions: | the TTDF's ground force inventory includes only light weapons; the Coast Guard and Air Guard field mostly second-hand equipment from a mix of countries, including Australia, China, the Netherlands, the UK, and the US (2019 est.) |
| Military service age and obligation: | 18-25 years of age for voluntary military service (some age variations between services, reserves); no conscription (2019) |
