| Military and Security | Spain |
| --- | --- |
| Military and security forces: | Spanish Armed Forces: Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE, includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA); Civil Guard (Guardia Civil) (2019) |
| Military and security forces: | note:Â the Civil Guard is a military force with police duties (including coast guard) under both the Ministry of Defence and the Ministry of the Interior; it also responds to the needs of the Ministry of Finance |
| Military expenditures: | 0.92% of GDP (2019 est.) |
| Military expenditures: | 0.92% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.81% of GDP (2016) |
| Military expenditures: | 0.92% of GDP (2015) |
| Military and security service personnel strengths: | the Spanish Armed Forces have approximately 120,000 active duty troops (70,000 Army; 20,000 Navy; 20,000 Air Force; 10,000 other/joint); 70-75,000 Guardia Civil (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Spanish military is comprised of domestically-produced and imported Western weapons systems; France, Germany, and the US are the leading suppliers of military hardware since 2010; Spain's defense industry manufactures land, air, and sea weapons systems and is integrated within the European defense-industrial sector (2019 est.) |
| Military deployments: | 150 Iraq (training mission, counter-ISIS coalition); 350 Latvia (NATO); 600 Lebanon (UNIFIL); 180 Mali (EUTM); 150 Turkey (NATO) (2020) |
| Military service age and obligation: | 18-26 years of age for voluntary military service by a Spanish citizen or legal immigrant, 2-3 year obligation; women allowed to serve in all SAF branches, including combat units; no conscription, but Spanish Government retains right to mobilize citizens 19-25 years of age in a national emergency; mandatory retirement of non-NCO enlisted personnel at age 45 or 58, depending on service length (2013) |
