| Military and Security | Greece |
| --- | --- |
| Military and security forces: | Hellenic Armed Forces: Hellenic Army (Ellinikos Stratos, ES; includes National Guard reserves), Hellenic Navy (Elliniko Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polemiki Aeroporia, EPA; includes air defense) (2019) |
| Military expenditures: | 2.28% of GDP (2019 est.) |
| Military expenditures: | 2.48% of GDP (2018) |
| Military expenditures: | 2.34% of GDP (2017) |
| Military expenditures: | 2.38% of GDP (2016) |
| Military expenditures: | 2.3% of GDP (2015) |
| Military and security service personnel strengths: | the Hellenic Armed Forces have approximately 141,000 active duty personnel (90,000 Army; 16,000 Navy; 25,000 Air Force; 10,000 joint service, support, staff); approximately 35,000 National Guard (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Hellenic Armed Forces consists mostly of a mix of imported weapons from Europe and the US, as well as a limited number of domestically produced systems, particularly naval vessels; Germany is the leading supplier of weapons systems to Greece since 2010, followed by France and the US; Greece's defense industry is capable of producing naval vessels and associated subsystems (2019 est.) |
| Military deployments: | est. 1,000 Cyprus; 110 Kosovo (NATO); 140 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | 19-45 years of age for compulsory military service; during wartime the law allows for recruitment beginning January of the year of inductee's 18th birthday, thus including 17 year olds; 18 years of age for volunteers; conscript service obligation is 1 year for the Army and 9 months for the Air Force and Navy; women are eligible for voluntary military service (2014) |
