| Military and Security | El Salvador |
| --- | --- |
| Military and security forces: | Armed Force of El Salvador (Fuerza Armada de El Salvador, FAES): Army of El Salvador (Ejercito de El Salvador, ES), Navy of El Salvador (Fuerza Naval de El Salvador, FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2020) |
| Military and security forces: | note: supporting the National Police (Ministry of Interior) in countering gang violence and drug trafficking is a primary mission for the FAES |
| Military expenditures: | 1.2% of GDP (2019) |
| Military expenditures: | 1% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.9% of GDP (2016) |
| Military expenditures: | 0.95% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Force of El Salvador (FAES) has approximately 22,000 active troops (18,000 Army; 2,000 Navy; 2,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the FAES is dependent on a mix of imported Cold War-era platforms, largely from the US; since 2000, the FAES has received limited amounts of equipment from Chile, Israel, and the US (2019 est.) |
| Military deployments: | 200 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18 years of age for selective compulsory military service; 16-22 years of age for voluntary male or female service; service obligation is 12 months, with 11 months for officers and NCOs (2012) |
