| Military and Security | Tanzania |
| --- | --- |
| Military expenditures: | 1.21% of GDP (2018) |
| Military expenditures: | 1.18% of GDP (2017) |
| Military expenditures: | 1.14% of GDP (2016) |
| Military expenditures: | 1.13% of GDP (2015) |
| Military expenditures: | 1.05% of GDP (2014) |
| Military and security forces: | Tanzania People's Defense Forces (TPDF or Jeshi la Wananchi la Tanzania, JWTZ): Land Forces Command, Naval Forces Command, Air Force Command, National Building Army (Jeshi la Kujenga Taifa, JKT), People's Militia (Reserves) (2019) |
| Military and security forces: | note: the National Building Army is a paramilitary organization under the Defense Forces that provides six months of military and vocational training to individuals as part of their two years of public service; after completion of training, some graduates join the regular Defense Forces while the remainder become part of the People's Militia |
| Military service age and obligation: | 18-25 years of age for voluntary military service; 6-year commitment (2019) |
| Maritime threats: | The International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen. |
