| Military and Security | Tajikistan |
| --- | --- |
| Military and security forces: | Armed Forces of the Republic of Tajikistan: Land Forces, Mobile Forces, Air and Air Defense Forces; National Guard; Ministry of Internal Affairs: Internal Troops (reserves for Armed Forces in wartime); State Committee on National Security: Border Guard Forces (2019) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military expenditures: | 1.1% of GDP (2014) |
| Military expenditures: | 1% of GDP (2012) |
| Military expenditures: | 1.1% of GDP (2011) |
| Military expenditures: | note: no public data available for 2013, 2016-2018 |
| Military and security service personnel strengths: | the Armed Forces of the Republic of Tajikistan have approximately 9,500 active troops (8,000 Land and Mobile Forces; 1,500 Air and Air Defense Forces) (2019 est.) |
| Military equipment inventories and acquisitions: | the Tajikistan Armed Forces' inventory is comprised of older Russian and Soviet-era equipment; it has received limited quantities of weapons systems since 2010, most of which was secondhand material from Russia, followed by Belarus and China (2019 est.) |
| Military deployments: | contributes troops to CSTO's Rapid Reaction Force (2019) |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary military service; 12-18 month conscript service obligation (2019) |
