| Military and Security | North Macedonia |
| --- | --- |
| Military and security forces: | Army of the Republic of North Macedonia (ARSM; includes a General Staff and subordinate Operations Command, Logistic Support Command, Training and Doctrine Command, and Center for Electronic Reconnaissance) (2020) |
| Military and security forces: | note: the Operations Command includes air, ground, special operations, support, and reserve forces |
| Military expenditures: | 1.2% of GDP (2019) |
| Military expenditures: | 0.9% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 1% of GDP (2016) |
| Military expenditures: | 1% of GDP (2015) |
| Military and security service personnel strengths: | the Army of the Republic of North Macedonia (ARSM) has approximately 8,000 active duty personnel (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of North Macedonia's Army consists mostly of Soviet-era equipment; since 2010, it has received small amounts of equipment from Ireland and Turkey (2019 est.) |
| Military service age and obligation: | 18 years of age for voluntary military service; conscription abolished in 2008 (2013) |
