| Military and Security | Chile |
| --- | --- |
| Military and security forces: | Armed Forces of Chile (Fuerzas Armadas de Chile):Â  Chilean Army, Chilean Navy (Armada de Chile, includes Naval Aviation, Marine Corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh); Carabineros de Chile (National Police Force) (2020) |
| Military and security forces: | note: Carabineros de Chile are responsible to both the Ministry of Defense and the Ministry of Interior |
| Military expenditures: | 1.8% of GDP (2019) |
| Military expenditures: | 1.9% of GDP (2018) |
| Military expenditures: | 1.9% of GDP (2017) |
| Military expenditures: | 1.9% of GDP (2016) |
| Military expenditures: | 1.9% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of Chile have approximately 80,000 active personnel (45,000 Army; 22,000 Navy; 13,000 Air Force); approximately 45,000 Carabineros (2019 est.) |
| Military equipment inventories and acquisitions: | the Chilean military inventory is comprised of a mix of mostly European and US equipment and a limited number of domestically-produced systems; since 2010, France, Germany, the Netherlands, and the US are the leading suppliers; Chile's defense industry produces some military vehicles and naval craft (2019 est.) |
| Military service age and obligation: | 18-45 years of age for voluntary male and female military service, although the right to compulsory recruitment of males 18-45 is retained; service obligation is 12 months for Army and 22 months for Navy and Air Force (2015) |
