| Military and Security | Guinea |
| --- | --- |
| Military and security forces: | National Armed Forces: Army, Guinean Navy (Armee de Mer or Marine Guineenne, includes Marines), Guinean Air Force (Force Aerienne de Guinee), Presidential Security Battalion (Battailon Autonome de la S̩curit̩ Presidentielle, BASP), Gendarmerie, People's Militia (Reserves) (2019) |
| Military expenditures: | 2% of GDP (2019) |
| Military expenditures: | 2.3% of GDP (2018) |
| Military expenditures: | 2.5% of GDP (2017) |
| Military expenditures: | 2.5% of GDP (2016) |
| Military expenditures: | 3.3% of GDP (2015) |
| Military and security service personnel strengths: | Guinean National Armed Forces are comprised of approximately 13,000 active personnel (est. 9,000 Army; 400 Navy; 800 Air Force; 1,400 Gendarmerie; 1,600 Republican Guard) (2019) |
| Military equipment inventories and acquisitions: | the inventory of the Guinean military consists largely of ageing and outdated (mostly Soviet-era) equipment; since 2010, it has received a limited amount of equipment from France, Russia, and South Africa (2019 est.) |
| Military deployments: | 1,500 Mali (MINUSMA) (2020) |
| Military service age and obligation: | no compulsory military service (2017) |
