| Military | Turkey |
| --- | --- |
| Military branches: | Turkish Armed Forces (TSK): Turkish Land Forces (Turk Kara Kuvvetleri), Turkish Naval Forces (Turk Deniz Kuvvetleri; includes naval air and naval infantry), Turkish Air Force (Turk Hava Kuvvetleri) (2010) |
| Military service age and obligation: | 19-41 years of age for male compulsory military service; 18 years of age for voluntary service; 15 months conscript obligation for non-university graduates, 6-12 months for university graduates; women serve in the Turkish Armed Forces only as officers; reserve obligation to age 41; under a law passed in November 2011, men aged 30 and older may pay $16,200 in lieu of mandatory military service (2011) |
| Manpower available for military service: | males age 16-49: 21,079,077 |
| Manpower available for military service: | females age 16-49: 20,558,696 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 17,664,510 |
| Manpower fit for military service: | females age 16-49: 17,340,816 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 700,079 |
| Manpower reaching militarily significant age annually: | female: 670,328 (2010 est.) |
| Military expenditures: | 5.3% of GDP (2005 est.) |
| Military - note: | a "National Security Policy Document" adopted in October 2005 increases the Turkish Armed Forces (TSK) role in internal security, augmenting the General Directorate of Security and Gendarmerie General Command (Jandarma); the TSK leadership continues to play a key role in politics and considers itself guardian of Turkey's secular state; in April 2007, it warned the ruling party about any pro-Islamic appointments; despite on-going negotiations on EU accession since October 2005, progress has been limited in establishing required civilian supremacy over the military; primary domestic threats are listed as fundamentalism (with the definition in some dispute with the civilian government), separatism (the Kurdish problem), and the extreme left wing; Ankara strongly opposed establishment of an autonomous Kurdish region; an overhaul of the Turkish Land Forces Command (TLFC) taking place under the "Force 2014" program is to produce 20-30% smaller, more highly trained forces characterized by greater mobility and firepower and capable of joint and combined operations; the TLFC has taken on increasing international peacekeeping responsibilities, and took charge of a NATO International Security Assistance Force (ISAF) command in Afghanistan in April 2007; the Turkish Navy is a regional naval power that wants to develop the capability to project power beyond Turkey's coastal waters; the Navy is heavily involved in NATO, multinational, and UN operations; its roles include control of territorial waters and security for sea lines of communications; the Turkish Air Force adopted an "Aerospace and Missile Defense Concept" in 2002 and has initiated project work on an integrated missile defense system; Air Force priorities include attaining a modern deployable, survivable, and sustainable force structure, and establishing a sustainable command and control system (2008) |
