| Military and Security | Eswatini |
| --- | --- |
| Military and security forces: | Umbutfo Eswatini Defense Force (UEDF): Ground Force (includes Air Wing (no operational aircraft)) (2019) |
| Military expenditures: | 1.8% of GDP (2019) |
| Military expenditures: | 1.9% of GDP (2018) |
| Military expenditures: | 1.9% of GDP (2017) |
| Military expenditures: | 2% of GDP (2016) |
| Military expenditures: | 1.8% of GDP (2015) |
| Military and security service personnel strengths: | the Umbutfo Eswatini Defense Force has approximately 3,100 active personnel (3,000 Army; 100 Air Force) (2020 est.) |
| Military equipment inventories and acquisitions: | the inventory of the UEDF consists mostly of equipment from South Africa; the only publicly recorded military acquisitions since 2010 were two secondhand helicopters from Taiwan in 2019 (2020) |
| Military service age and obligation: | 18-30 years of age for male and female voluntary military service; no conscription; compulsory HIV testing required, only HIV-negative applicants accepted (2013) |
