| Military and Security | Niger |
| --- | --- |
| Military and security forces: | Nigerien Armed Forces (Forces Armees Nigeriennes, FAN): Army, Nigerien Air Force, Niger Gendarmerie (GN); Ministry of Interior: Niger National Guard (GNN), National Police (includes the Directorate of Territorial Surveillance, which is charged with border management) (2020) |
| Military and security forces: | note: the Gendarmerie is subordinate to the Ministry of Defense and has primary responsibility for rural security; the National Guard is responsible for domestic security and the protection of high-level officials and government buildings |
| Military expenditures: | 1.8% of GDP (2019) |
| Military expenditures: | 2.5% of GDP (2018) |
| Military expenditures: | 2.5% of GDP (2017) |
| Military expenditures: | 2.2% of GDP (2016) |
| Military and security service personnel strengths: | size estimates for the Nigerien Armed Forces (FAN) vary; approximately 10,000 active troops (est. 6,000 Army; 200 Air Force; 3,500 Gendarmerie); est. 3,000 National Guard (2019) |
| Military equipment inventories and acquisitions: | the FAN's inventory consists of a wide variety of foreign-supplied weapons, including Chinese, French, German, Russian, and US; since 2015, the FAN has received limited amounts of equipment from China, France, Russia, Sweden, and the US, some of which were donations (2019 est.) |
| Military deployments: | 860 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18 is the legal minimum age for compulsory or voluntary military service; enlistees must be Nigerien citizens and unmarried; 2-year service term; women may serve in health care (2017) |
| Military - note: | as of September 2020, the FAN was conducting counterinsurgency and counter-terrorism operations against Islamic militants on two fronts; in the Diffa region, the Nigeria-based Boko Haram terrorist group has conducted dozens of attacks on security forces, army bases, and civilians; on Nigerâ€™s western border with Mali, the Islamic State-West Africa (ISWA) has conducted numerous attacks on security personnel; a series of ISWA attacks on FAN forces near the Malian border in December of 2019 and January of 2020 resulted in the deaths of more than 170 soldiers |
| Military - note: | Niger is part of a five-nation anti-jihadist task force known as the G5 Sahel Group, set up in 2014 with Burkina Faso, Mali, Mauritania, and Chad; it has committed 1,100 troops and 200 gendarmes to the force; in early 2020, G5 Sahel military chiefs of staff agreed to allow defense forces from each of the states to pursue terrorist fighters up to 100 km into neighboring countries; the G5 force is backed by the UN, US, and France; G5 troops periodically conduct joint operations with French forces deployed to the Sahel under Operation Barkhane |
| Military - note: | Niger also has about 1,000 troops committed to the Multinational Joint Task Force (MNJTF) against Boko Haram; national MNJTF troop contingents are deployed within their own country territories, although crossâ€?border operations are conducted periodically (2020) |
