| Military and Security | Pakistan |
| --- | --- |
| Military and security forces: | Pakistan Army (includes National Guard), Pakistan Navy (includes marines, Maritime Security Agency), Pakistan Air Force (Pakistan Fizaia); Ministry of Interior paramilitary forces: Frontier Corps, Pakistan Rangers (2019) |
| Military and security forces: | note:Â  the National Guard is a paramilitary force and one of the Army's reserve forces, along with the Pakistan Army Reserve, the Frontier Corps, and the Pakistan Rangers |
| Military expenditures: | 4% of GDP (2019) |
| Military expenditures: | 4.1% of GDP (2018) |
| Military expenditures: | 3.8% of GDP (2017) |
| Military expenditures: | 3.6% of GDP (2016) |
| Military expenditures: | 3.6% of GDP (2015) |
| Military and security service personnel strengths: | estimates of the size of the Pakistan militaryâ€™s active force vary; approximately 650,000 active personnel (560,000 Army; 30,000 Navy; 60,000 Air Force); est. 70,000 Frontier Corps; est. 25,000 Pakistan Rangers (2019) |
| Military equipment inventories and acquisitions: | the Pakistan military inventory includes a broad mix of equipment, primarily from China, France, Ukraine, the UK, and the US; since 2010, China and the US are the leading suppliers of arms to Pakistan; Pakistan also has a large domestic defense industry capable of upgrading existing air, land, and sea weapons systems (2019 est.) |
| Military deployments: | 1,230 Central African Republic (MINUSCA); 1,950 Democratic Republic of the Congo (MONUSCO); 140 Mali (MINUSMA); 900 Sudan (UNAMID) (2020) |
| Military service age and obligation: | 16-23 years of age for voluntary military service; soldiers cannot be deployed for combat until age 18; women serve in all three armed forces; reserve obligation to age 45 for enlisted men, age 50 for officers (2019) |
