| Military and Security | Saudi Arabia |
| --- | --- |
| Military and security forces: | Ministry of Defense: Royal Saudi Land Forces, Royal Saudi Naval Forces (includes marines, special forces, naval aviation), Royal Saudi Air Force, Royal Saudi Air Defense Forces, Royal Saudi Strategic Missiles Force; Ministry of the National Guard (SANG); Ministry of Interior: Border Guard, Facilities Security Force (2020) |
| Military and security forces: | note: SANG (also known as the White Army) is a land force separate from the Ministry of Defense that is responsible for internal security, protecting the royal family, and external defense |
| Military expenditures: | 8% of GDP (2019) |
| Military expenditures: | 9.5% of GDP (2018) |
| Military expenditures: | 10.2% of GDP (2017) |
| Military expenditures: | 10% of GDP (2016) |
| Military expenditures: | 13% of GDP (2015) |
| Military and security service personnel strengths: | the Saudi military forces have about 225,000 active troops; approximately 125,000 under the Ministry of Defense (75,000 Land Forces; 13,500 Naval Forces; 35,000 Air Force/Air Defense; 2,500 Strategic Missile Forces) and approximately 100,000 in the Saudi Arabia National Guard (SANG) (2019 ) |
| Military and security service personnel strengths: | note: SANG also has an irregular force (Fowj), primarily Bedouin tribal volunteers, with a total strength of approximately 25,000 men |
| Military equipment inventories and acquisitions: | the inventory of the Saudi military forces, including the SANG, includes a mix of mostly modern weapons systems from the US and Europe, particularly France and the UK; since 2010, France, the UK, and the US are the leading suppliers of armaments, followed by Germany, Spain, and Canada; the Saudi Navy is in the midst of a major modernization/procurement program (2020) |
| Military deployments: | est. 2,500-10,000 Yemen (probably varies depending on operations) (April 2020) |
| Military service age and obligation: | 17 is the legal minimum age for voluntary military service; no conscription; in 2018, women were allowed to serve as soldiers in the internal security services under certain requirements (2018) |
