| Military and Security | Senegal |
| --- | --- |
| Military and security forces: | Senegalese Armed Forces: Army, Senegalese National Navy (Marine Senegalaise, MNS), Senegalese Air Force (Armee de l'Air du Senegal), National Gendarmerie (includes Territorial and Mobile components) (2020) |
| Military expenditures: | 1.5% of GDP (2019 est.) |
| Military expenditures: | 1.6% of GDP (2018) |
| Military expenditures: | 1.5% of GDP (2017) |
| Military expenditures: | 1.6% of GDP (2016) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military and security service personnel strengths: | the Senegalese Armed Forces (SAF) consist of approximately 19,000 active personnel (12,000 Army; 1,000 Navy/Coast Guard; 800 Air Force; 5,000 National Gendarmerie) (2019 est.) |
| Military equipment inventories and acquisitions: | the SAF inventory includes mostly older or second-hand equipment from a variety of countries, including France, South Africa, and Russia/former Soviet Union; in recent years, the SAF has attempted to modernize, particularly its air force; China and France are the leading suppliers of newer military hardware to the SAF since 2010 (2019 est.) |
| Military deployments: | 1,000 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service; 20 years of age for selective conscript service; 2-year service obligation; women have been accepted into military service since 2008 (2016) |
