| Military and Security | Mozambique |
| --- | --- |
| Military and security forces: | Armed Defense Forces of Mozambique (Forcas Armadas de Defesa de Mocambique, FADM): Mozambique Army, Mozambique Navy (Marinha de Guerra de Mocambique, MGM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) |
| Military and security forces: | Ministry of Interior: National Police (PRM), the National Criminal Investigation Service (SERNIC), Rapid Intervention Unit (UIR; police special forces), Border Security Force (2019) |
| Military and security forces: | note: the FADM and Ministry of Interior forces are referred to collectively as the Defense and Security Forces (DFS) |
| Military expenditures: | 0.99% of GDP (2018) |
| Military expenditures: | 1.02% of GDP (2017) |
| Military expenditures: | 1.03% of GDP (2016) |
| Military expenditures: | 0.81% of GDP (2015) |
| Military expenditures: | 1.02% of GDP (2014) |
| Military and security service personnel strengths: | the Armed Defense Forces of Mozambique (FADM) are comprised of approximately 11,000 personnel (10,000 Army; 200 Navy; 1,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the FADM's inventory consists primarily of Soviet-era equipment, although in recent years it has received limited quantities of newer equipment, particularly aircraft and maritime patrol craft (mostly as aid/donations); India is the leading supplier since 2010 (2019 ) |
| Military service age and obligation: | registration for military service is mandatory for all males and females at 18 years of age; 18-35 years of age for selective compulsory military service; 18 years of age for voluntary service; 2-year service obligation; women may serve as officers or enlisted (2019) |
| Military - note: | the Mozambique Defense and Security Forces are facing a growing insurgency involving terrorist/militant groups with ties to the Islamic State in Central Africa in the northern province of Cabo Delgado, an area known for rich liquid natural gas deposits; insurgent attacks in the province began in 2017 and as of November 2020, the fighting had left an estimated 2,000 dead and over 300,000 displaced; Mozambique has brought in private military companies to provide assistance to its security forces (2020) |
