| Military and Security | Nepal |
| --- | --- |
| Military and security forces: | Nepal Army (includes Air Wing); Nepal Armed Police Force (under the Ministry of Home Affairs; paramilitary force responsible for border and internal security, including counter-insurgency, and assisting the Army in the event of an external invasion) (2019) |
| Military expenditures: | 1.6% of GDP (2019) |
| Military expenditures: | 1.6% of GDP (2018) |
| Military expenditures: | 1.7% of GDP (2017) |
| Military expenditures: | 1.7% of GDP (2016) |
| Military expenditures: | 1.6% of GDP (2015) |
| Military and security service personnel strengths: | the Nepal Army has approximately 95,000 active troops (including a small air wing of about 500 personnel); approximately 15,000 Nepal Armed Police (2019 est.) |
| Military equipment inventories and acquisitions: | the Army's inventory includes a mix of older equipment largely of British, Chinese, Indian, Russian, and South African origin; since 2010, China, Italy, and Russia are the top suppliers of military hardware to Nepal (2019 est.) |
| Military deployments: | 720 Central African Republic (MINUSCA); 880 Democratic Republic of the Congo (MONUSCO); 400 Golan Heights (UNDOF); 870 Lebanon (UNIFIL); 230 Liberia (UNSMIL); 150 Mali (MINUSMA); 1,700 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service (including women); no conscription (2019) |
