| Military and Security | Burkina Faso |
| --- | --- |
| Military and security forces: | Armed Forces of Burkina Faso (FABF): Army of Burkina Faso (Lâ€™Armee de Terre, LAT), Air Force of Burkina Faso (Force Aerienne de Burkina Faso, FABF), National Gendarmerie, National Fire Brigade (Brigade Nationale des Sapeurs-Pompiers, BNSP) (2019) |
| Military and security forces: | note: the National Gendarmerie officially reports to the Ministry of Defense, but usually operates in support of the Ministry of Security and the Ministry of Justice; Gendarmerie troops are typically integrated with Army forces in anti-terrorism operations; for example, Gendarmerie, Army, and police forces were combined to form a task force known as the Groupement des Forces Anti-Terroristes (GFAT) to address terrorist activities along the country's northern border in 2013 |
| Military expenditures: | 2.4% of GDP (2019) |
| Military expenditures: | 2.1% of GDP (2018) |
| Military expenditures: | 1.4% of GDP (2017) |
| Military expenditures: | 1.2% of GDP (2016) |
| Military expenditures: | 1.3% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of Burkina Faso (FABF) have approximately 12,000 personnel (7,000 Army; 500 Air Force; 4,500 National Gendarmerie) (2019 est.) |
| Military equipment inventories and acquisitions: | the FABF has a mix of foreign-supplied weapons; since 2010, it has received limited amounts of equipment from several countries, including donated second hand armaments; the leading suppliers are Brazil, Russia, and Turkey (2019 est.) |
| Military deployments: | 1,100 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service; no conscription; women may serve in supporting roles (2013) |
| Military - note: | since at least 2016, the Armed Forces of Burkina Faso have been actively engaged in combat operations with terrorist groups linked to al-Qa'ida and ISIS; military operations have occurred in the Centreâ€?Est, Centreâ€?Nord, Est, Nord, and Sahel administrative regions |
| Military - note: | Burkina Faso is part of a five-nation anti-jihadist task force known as the G5 Sahel Group, set up in 2014 with Chad, Mali, Mauritania, and Niger; it has committed 550 troops and 100 gendarmes to the force; the G5 force is backed by the UN, US, and France; G5 troops periodically conduct joint operations with French forces deployed to the Sahel under Operation Barkhane; in early 2020, G5 Sahel military chiefs of staff agreed to allow defense forces from each of the states to pursue terrorist fighters up to 100 km into neighboring countries (2020) |
