| Military and Security | Gabon |
| --- | --- |
| Military and security forces: | Gabonese Defense Forces (Forces de Defense Gabonaise): Land Force (Force Terrestre), Gabonese Navy (Marine Gabonaise), Gabonese Air Forces (Forces Aerienne Gabonaises, FAG), Gabonese National Gendarmerie (2019) |
| Military expenditures: | 1.6% of GDP (2019) |
| Military expenditures: | 1.5% of GDP (2018) |
| Military expenditures: | 1.8% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military and security service personnel strengths: | the Gabonese Defense Forces (FDG) are comprised of approximately 6,500 active duty troops (3,000 Land Forces; 500 Navy; 1,000 Air Force; 2,000 Gendarmerie) (2019) |
| Military equipment inventories and acquisitions: | the FDG's inventory is comprised mostly of Brazilian, French, and South African equipment; since 2010, the leading suppliers are France and South Africa (2019 est.) |
| Military deployments: | 450 Central African Republic (MINUSCA) (2020) |
| Military service age and obligation: | 20 years of age for voluntary military service; no conscription (2013) |
