| Military and Security | Oman |
| --- | --- |
| Military and security forces: | Sultan's Armed Forces (SAF): Royal Army of Oman (RAO), Royal Navy of Oman (RNO), Royal Air Force of Oman (RAFO), Royal Guard of Oman (RGO); Royal Oman Police Coast Guard; Tribal Home Guard (2020) |
| Military expenditures: | 8.8% of GDP (2019) |
| Military expenditures: | 8.2% of GDP (2018) |
| Military expenditures: | 9.6% of GDP (2017) |
| Military expenditures: | 12% of GDP (2016) |
| Military expenditures: | 10.9% of GDP (2015) |
| Military and security service personnel strengths: | the Sultan's Armed Forces (SAF) have approximately 40,000 total active troops (25,000 Army, 4,200 Navy; 4,500 Air Force; 6,400 Royal Guard); 400 Coast Guard; 4,000 Tribal Home Guard (2019 ) |
| Military equipment inventories and acquisitions: | the SAF's inventory includes mostly a mix of older and some more modern British and US weapons systems, with smaller quantities of equipment from South Africa and a variety of European countries; since 2010, the UK and the US are the leading suppliers of armaments to Oman (2019 est.) |
| Military service age and obligation: | 18-30 years of age for voluntary military service; no conscription (2012) |
| Maritime threats: | the Maritime Administration of the US Department of Transportation has issued a Maritime Advisory (2019-012-Persian Gulf, Strait of Hormuz, Gulf of Oman, Arabian Sea, Red Sea-Threats to US and International Shipping from Iran) effective 7 August 2019, which states in part that "heightened military activities and increased political tensions in this region continue to present risk to commercial shipping...there is a continued possibility that Iran and/or its regional proxies could take actions against US and partner interests in the region;" at present, Iran has seized two foreign-flagged tankers in the Persian Gulf; the US and UK navies have established Operation Sentinel to provide escorts for commercial shipping transiting the Persian Gulf, Strait of Hormuz, and Gulf of Oman |
