| Military and Security | Togo |
| --- | --- |
| Military and security forces: | Togolese Armed Forces (Forces Armees Togolaise, FAT): Togolese Army (l'Armee de Terre), Togolese Navy (Forces Naval Togolaises), Togolese Air Force (Armee de lâ€™Air), National Gendarmerie (2020) |
| Military expenditures: | 3.1% of GDP (2019) |
| Military expenditures: | 2% of GDP (2018) |
| Military expenditures: | 1.9% of GDP (2017) |
| Military expenditures: | 1.9% of GDP (2016) |
| Military expenditures: | 1.7% of GDP (2015) |
| Military and security service personnel strengths: | the Togolese Armed Forces (FAT) are comprised of approximately 9,100 personnel (8,000 Army; 200 Navy; 200 Navy; 750 Gendarmerie) (2019 est.) |
| Military equipment inventories and acquisitions: | the FAT's small inventory is a mix of older Brazilian, British, French, German, Russian/Soviet, and US equipment; since 2010, France is the leading supplier of military hardware to Togo (2020) |
| Military deployments: | 920 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18 years of age for military service; 2-year service obligation; currently the military is only an all-volunteer force (2017) |
