| Military and Security | Italy |
| --- | --- |
| Military expenditures: | 1.22% of GDP (2019 est.) |
| Military expenditures: | 1.21% of GDP (2018) |
| Military expenditures: | 1.21% of GDP (2017) |
| Military expenditures: | 1.18% of GDP (2016) |
| Military expenditures: | 1.07% of GDP (2015) |
| Military and security forces: | Italian Armed Forces: Army (Esercito Italiano, EI), Navy (Marina Militare Italiana, MMI; includes aviation, marines), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC). (2019) |
| Military and security forces: | The Financial Guard (Guardia di Finanza) under the Ministry of Economy and Finance is a force with military status and nationwide remit for financial crime investigations, including narcotics trafficking, smuggling, and illegal immigration. |
| Military service age and obligation: | 18-25 years of age for voluntary military service; women may serve in any military branch; Italian citizenship required; 1-year service obligation (2013) |
| Military - note: | Italy has established a Joint Special Operations Command and a Joint Headquarters Cyber Operations (Comando Interforze per le Operazioni Cibernetiche (CIOC) (2019) |
