| Military and Security | Tanzania |
| --- | --- |
| Military and security forces: | Tanzania People's Defense Forces (TPDF or Jeshi la Wananchi la Tanzania, JWTZ): Land Forces Command, Naval Forces Command, Air Force Command, National Building Army (Jeshi la Kujenga Taifa, JKT), People's Militia (Reserves) (2019) |
| Military and security forces: | note: the National Building Army is a paramilitary organization under the Defense Forces that provides six months of military and vocational training to individuals as part of their two years of public service; after completion of training, some graduates join the regular Defense Forces while the remainder become part of the People's Militia |
| Military expenditures: | 1.3% of GDP (2019) |
| Military expenditures: | 1.3% of GDP (2018) |
| Military expenditures: | 1.2% of GDP (2017) |
| Military expenditures: | 1.1% of GDP (2016) |
| Military expenditures: | 1.1% of GDP (2015) |
| Military and security service personnel strengths: | the Tanzania People's Defense Forces (TPDF) have an estimated 26,000 active personnel (22,000 Land Forces; 1,000 Naval Forces; 3,000 Air Force) (2019 ) |
| Military equipment inventories and acquisitions: | the TPDF inventory includes mostly Soviet-era and older Chinese equipment; since 2010, China is the leading supplier of arms to the TPDF (2019 est.) |
| Military deployments: | 450 Central African Republic (MINUSCA); 750 Democratic Republic of the Congo (MONUSCO); 120 Lebanon (UNIFIL); 330 Sudan (UNAMID) (2020) |
| Military service age and obligation: | 18-25 years of age for voluntary military service; 6-year commitment (2019) |
| Maritime threats: | The International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen. |
| Military - note: | the TPDF has deployed additional troops to its border with Mozambique to prevent a spillover of the growing violence in the northern Mozambican province of Cabo Delgado (2020) |
