| Military and Security | United Arab Emirates |
| --- | --- |
| Military and security forces: | United Arab Emirates Armed Forces: Land Forces, Navy, Air Force, Presidential Guard, Joint Aviation Command; Ministry of Interior: Critical Infrastructure Coastal Patrol Agency (CICPA) (2020) |
| Military expenditures: | 5.7% of GDP (2016) |
| Military expenditures: | 5.6% of GDP (2014) |
| Military expenditures: | 6% of GDP (2013) |
| Military expenditures: | 5.1% of GDP (2012) |
| Military expenditures: | 5.5% of GDP (2011) |
| Military expenditures: | no public data available for 2015 or after 2016 |
| Military and security service personnel strengths: | the United Arab Emirates Armed Forces have approximately 63,000 total active personnel (44,000 Land Forces; 2,500 Navy; 4,500; 12,000 Presidential Guard) (2019) |
| Military equipment inventories and acquisitions: | the UAE Armed Forces inventory is comprised of mostly modern imported equipment; since 2010, the UAE has acquired military equipment from more than 20 countries with the US as the leading supplier, followed by France and Russia (2019 est.) |
| Military deployments: | est. 1,000 Eritrea; est. 3-4,000 Yemen; maintains a military base in the Eritrean port of Assab (2019) |
| Military service age and obligation: | 18-30 years of age for compulsory military service for men; 17 years of age for male volunteers with parental approval; 24-month general service obligation, 16 months for secondary school graduates; women can volunteer to serve for 9 months regardless of education (2018) |
