| Military and Security | Russia |
| --- | --- |
| Military expenditures: | 3.93% of GDP (2018) |
| Military expenditures: | 4.23% of GDP (2017) |
| Military expenditures: | 5.45% of GDP (2016) |
| Military expenditures: | 4.86% of GDP (2015) |
| Military expenditures: | 4.1% of GDP (2014) |
| Military and security forces: | Armed Forces of the Russian Federation:Â  Ground Troops (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Aerospace Forces (Vozdushno-Kosmicheskiye Sily, VKS); Airborne Troops (Vozdushno-Desantnyye Voyska, VDV) and Missile Troops of Strategic Purpose (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN) referred to commonly as Strategic Rocket Forces, are independent "combat arms," not subordinate to any of the three branches |
| Military and security forces: | Federal National Guard Troops Service of the Russian Federation (National Guard, Russian Guard, or Rosgvardiya): created in 2016 as an independent agency for internal/regime security, combating terrorism and narcotics trafficking, protecting important state facilities and government personnel, and supporting border security; forces include Interior Troops that formerly belong to the Interior Ministry, special police units, rapid response units, and other air, ground, maritime, and police forces |
| Military and security forces: | Federal Security Service (FSB) Border Guard Service: Coast Guard (2019) |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary military service; males are registered for the draft at 17 years of age; one-year service obligation (Russia offers the option of serving on a two-year contract instead of completing a one-year conscription period); reserve obligation for non-officers to age 50; enrollment in military schools from the age of 16, cadets classified as members of the armed forces (2019) |
| Military service age and obligation: | note: In April of 2019, the Russian government pledged its intent to end conscription.Â  |
