| Military and Security | Uganda |
| --- | --- |
| Military and security forces: | Uganda People's Defense Force (UPDF): Land Forces, Air Forces, Marine Forces, Special Operations Command, Reserve Force (2019) |
| Military expenditures: | 2.1% of GDP (2019) |
| Military expenditures: | 1.4% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.3% of GDP (2016) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Uganda People's Defense Force (UPDF) vary; approximately 50,000 troops, including about 1,000 air and marine personnel (2019 est.) |
| Military equipment inventories and acquisitions: | the UPDF's inventory is mostly older Russian/Soviet-era equipment with a limited mix of more modern Russian- and Western-origin arms; since 2010, the leading suppliers of arms to the UPDF are Russia and Ukraine (2019) |
| Military deployments: | 6,200 Somalia (AMISOM); 620 Somalia (UNSOM); 250 Equatorial Guinea (2020) |
| Military service age and obligation: | 18-25 years of age for voluntary military duty (must be single, no children); 9-year service obligation (2019) |
